# Reference      Predicted      Error          
-0.27345        -0.26454        0.00891        
-0.06724        -0.06698        0.00026        
0.05068         0.04178         0.00890        
-0.08178        -0.10384        0.02206        
-0.03844        -0.03453        0.00391        
-0.27730        -0.27623        0.00107        
0.03844         0.03453         0.00391        
0.27730         0.27623         0.00107        
-0.03844        -0.03453        0.00391        
-0.27730        -0.27623        0.00107        
0.03844         0.03453         0.00391        
0.27730         0.27623         0.00107        
-0.09839        -0.09650        0.00190        
-0.30125        -0.30035        0.00091        
0.04956         0.04801         0.00156        
0.30488         0.30414         0.00074        
-0.11032        -0.10755        0.00277        
-0.22536        -0.22556        0.00019        
0.12635         0.12530         0.00105        
0.25454         0.25251         0.00203        
-0.33366        -0.33620        0.00254        
-0.09406        -0.08884        0.00521        
0.24874         0.24748         0.00126        
0.00564         0.00713         0.00149        
-0.09684        -0.09994        0.00310        
-0.14229        -0.13549        0.00680        
0.22689         0.22670         0.00019        
0.18557         0.17917         0.00640        
-0.10782        -0.10961        0.00179        
-0.24580        -0.24223        0.00357        
0.20267         0.20261         0.00006        
0.24528         0.24424         0.00104        
-0.16291        -0.16249        0.00042        
-0.32136        -0.32198        0.00062        
0.18381         0.18223         0.00158        
0.20612         0.20723         0.00110        
0.22507         0.23354         0.00847        
-0.42831        -0.42861        0.00029        
-0.29409        -0.29937        0.00528        
0.16945         0.17331         0.00386        
0.28143         0.27884         0.00259        
-0.17235        -0.17034        0.00201        
-0.11602        -0.12556        0.00954        
0.33482         0.33819         0.00336        
-0.02207        -0.02386        0.00179        
-0.15542        -0.14968        0.00573        
0.02207         0.02386         0.00179        
0.15542         0.14968         0.00573        
-0.02207        -0.02386        0.00179        
-0.15542        -0.14968        0.00573        
0.02207         0.02386         0.00179        
0.15542         0.14968         0.00573        
-0.07006        -0.07193        0.00187        
-0.10296        -0.09399        0.00897        
0.00919         0.01127         0.00207        
0.11409         0.10909         0.00500        
-0.06072        -0.06243        0.00171        
-0.07813        -0.07555        0.00257        
0.06347         0.06455         0.00108        
0.12511         0.11899         0.00612        
0.04811         0.05212         0.00401        
-0.21641        -0.20693        0.00948        
-0.10340        -0.09896        0.00444        
0.22004         0.21801         0.00203        
0.12426         0.12202         0.00224        
-0.33251        -0.34177        0.00926        
0.15529         0.15833         0.00304        
0.10462         0.09719         0.00743        
-0.06790        -0.07138        0.00348        
-0.29367        -0.27971        0.01396        
-0.11283        -0.11080        0.00203        
0.13537         0.13530         0.00007        
-0.03288        -0.03677        0.00389        
-0.01288        -0.02074        0.00785        
0.11769         0.12231         0.00462        
0.26711         0.26180         0.00531        
-0.28116        -0.28355        0.00239        
0.19389         0.18895         0.00494        
0.46495         0.47041         0.00546        
-0.11427        -0.12548        0.01121        
-0.31154        -0.31427        0.00273        
-0.08076        -0.06662        0.01414        
0.20368         0.20284         0.00085        
-0.07478        -0.07226        0.00252        
-0.00697        -0.00642        0.00055        
-0.04853        -0.04732        0.00121        
0.00697         0.00642         0.00055        
0.04853         0.04732         0.00121        
-0.00697        -0.00642        0.00055        
-0.04853        -0.04732        0.00121        
0.00697         0.00642         0.00055        
0.04853         0.04732         0.00121        
0.03770         0.04086         0.00315        
-0.12072        -0.12094        0.00022        
-0.09203        -0.09213        0.00010        
0.12346         0.12162         0.00183        
0.08492         0.08771         0.00279        
-0.06774        -0.06909        0.00134        
-0.08257        -0.08458        0.00201        
0.11697         0.11654         0.00044        
-0.01560        -0.01331        0.00229        
-0.01489        -0.01508        0.00019        
-0.01024        -0.01359        0.00335        
0.08565         0.08274         0.00291        
0.11604         0.11746         0.00143        
-0.10765        -0.10854        0.00089        
-0.10159        -0.10066        0.00093        
0.04828         0.05098         0.00269        
-0.31501        -0.31413        0.00088        
0.17589         0.16692         0.00897        
0.06991         0.07094         0.00103        
-0.13749        -0.14308        0.00558        
-0.17978        -0.18362        0.00383        
0.03142         0.04461         0.01319        
0.38871         0.39296         0.00425        
-0.03363        -0.03460        0.00097        
-0.14573        -0.14648        0.00075        
0.02068         0.02476         0.00408        
0.14211         0.14723         0.00512        
-0.09412        -0.09640        0.00228        
-0.09856        -0.10085        0.00229        
0.16805         0.16395         0.00410        
0.07806         0.07777         0.00029        
-0.07050        -0.06999        0.00051        
0.00654         0.00459         0.00195        
0.04557         0.05254         0.00697        
-0.00654        -0.00459        0.00195        
-0.04557        -0.05254        0.00697        
0.00654         0.00459         0.00195        
0.04557         0.05254         0.00697        
-0.00654        -0.00459        0.00195        
-0.04557        -0.05254        0.00697        
0.01669         0.01920         0.00252        
0.05360         0.05500         0.00140        
-0.06280        -0.05897        0.00383        
-0.00777        -0.00113        0.00664        
-0.04337        -0.04335        0.00002        
0.06049         0.06712         0.00664        
-0.05285        -0.04914        0.00371        
0.03602         0.01126         0.02476        
0.10118         0.09470         0.00647        
0.09425         0.10621         0.01197        
-0.02559        -0.02339        0.00221        
0.05461         0.07792         0.02331        
-0.03760        -0.03700        0.00060        
0.04886         0.06588         0.01702        
-0.01552        -0.01138        0.00414        
-0.22017        -0.27295        0.05278        
-0.05217        -0.05260        0.00043        
-0.06177        -0.06655        0.00478        
-0.28213        -0.28152        0.00061        
0.00147         -0.03217        0.03364        
0.27761         0.28061         0.00301        
0.00902         0.04070         0.03168        
-0.05039        -0.04649        0.00391        
0.15836         0.15801         0.00035        
-0.25877        -0.25854        0.00023        
-0.09462        -0.08723        0.00739        
0.06805         0.07626         0.00821        
0.01909         0.02248         0.00339        
-0.14457        -0.13947        0.00509        
0.25481         0.21633         0.03848        
0.21453         0.21226         0.00227        
-0.05853        -0.04209        0.01644        
0.01826         0.01799         0.00028        
0.18774         0.16716         0.02057        
-0.01826        -0.01799        0.00028        
-0.18774        -0.16716        0.02057        
0.01826         0.01799         0.00028        
0.18774         0.16716         0.02057        
-0.01826        -0.01799        0.00028        
-0.18774        -0.16716        0.02057        
0.00441         0.00367         0.00074        
0.22982         0.19618         0.03364        
-0.03944        -0.03886        0.00058        
-0.21043        -0.21158        0.00115        
-0.01985        -0.02006        0.00021        
0.22988         0.23245         0.00256        
0.00330         0.00336         0.00006        
-0.19769        -0.16517        0.03252        
-0.07378        -0.07356        0.00022        
0.41864         0.27803         0.14061        
-0.00688        -0.00660        0.00028        
-0.34697        -0.25267        0.09431        
-0.01245        -0.01385        0.00141        
0.18048         0.27098         0.09050        
-0.02165        -0.02098        0.00067        
-0.13740        -0.18135        0.04395        
-0.06930        -0.06847        0.00083        
-0.09365        -0.04762        0.04603        
-0.15220        -0.14952        0.00268        
-0.16777        -0.12975        0.03803        
0.00258         0.00133         0.00125        
0.33325         0.26050         0.07275        
0.09833         0.09607         0.00226        
0.04875         0.03746         0.01129        
-0.25968        -0.25632        0.00336        
-0.00512        0.03191         0.03703        
-0.15980        -0.15952        0.00028        
-0.08644        -0.10963        0.02319        
0.24341         0.24378         0.00038        
0.06940         0.05524         0.01416        
0.11377         0.11663         0.00287        
0.08447         0.07790         0.00656        
0.02813         0.02823         0.00010        
0.21100         0.23057         0.01957        
-0.02813        -0.02823        0.00010        
-0.21100        -0.23057        0.01957        
0.02813         0.02823         0.00010        
0.21100         0.23057         0.01957        
-0.02813        -0.02823        0.00010        
-0.21100        -0.23057        0.01957        
0.02531         0.02525         0.00006        
0.21896         0.24206         0.02311        
-0.03110        -0.03109        0.00001        
-0.17234        -0.18730        0.01497        
0.01476         0.01536         0.00060        
0.18972         0.20279         0.01307        
-0.04682        -0.04646        0.00035        
-0.19849        -0.22060        0.02211        
0.02983         0.02855         0.00128        
0.22361         0.21265         0.01096        
0.01460         0.01552         0.00092        
-0.10629        -0.10363        0.00266        
0.00635         0.00765         0.00130        
0.24196         0.21875         0.02321        
-0.03079        -0.03059        0.00019        
-0.37928        -0.34889        0.03038        
